,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
67,数据采集研发工程师,搜城商铺网,8-13K,发布于06月22日,1-3年/大专,北京,网络爬虫技术/分布式技术/网络协议/Python/Java,https://www.zhipin.com//job_detail/f08021081c0c7b780n193NW-EVU~.html
68,Python开发工程师（远程办公，在家办公）,爱嘉鑫实业有限公司,8-13K,发布于06月23日,1-3年/大专,北京·大兴区,Flask/Django/网络爬虫技术/Tornado/爬虫开发,https://www.zhipin.com//job_detail/d79123505488548633Zy2Ny8E1I~.html
69,数据开发工程师,巨人学校,12-24K,发布于06月23日,1-3年/本科,北京·海淀区,Hadoop/分布式技术/SQL/Redis/MySQL,https://www.zhipin.com//job_detail/5c555d1a022b591c0Xx_3925GVM~.html
70,数据开发工程师,巨人学校,12-24K,发布于06月23日,1-3年/本科,北京·海淀区,Hadoop/分布式技术/SQL/Redis/MySQL,https://www.zhipin.com//job_detail/5c555d1a022b591c0Xx_3925GVM~.html
71,PHP开发,金铂顺昌,11-20K,发布于06月23日,1-3年/大专,北京,架构师/软件工程师/缓存技术/php框架/LNMP,https://www.zhipin.com//job_detail/66e8964b17c614a433B43t-6FlQ~.html
72,Java,浩远科博,12-15K,发布于06月23日,1-3年/本科,北京·朝阳区,Spark/Hadoop/Spring/ETL/网络爬虫技术,https://www.zhipin.com//job_detail/e988870322bf9fc833B40tm4GFY~.html
73,数据分析师,华信东方,6-11K,发布于06月23日,1-3年/大专,北京,SQL/Python/反爬虫/爬虫/批量数据,https://www.zhipin.com//job_detail/87dd73208ee0761833Z62tu9EFY~.html
74,Python助教,开课吧,8-12K,发布于06月23日,1-3年/本科,北京,Python/开发框架/SQL/Scrapy/数据库语言,https://www.zhipin.com//job_detail/60512b1780a833f00HF42Nm_E1o~.html
75,软件测试工程师,泰雷兹(中国),12-20K,发布于06月23日,1-3年/本科,北京,接口测试/自动化测试/通信协议/LTE/NB-IoT,https://www.zhipin.com//job_detail/19b32cd9842876a00HZ839m6EVQ~.html
76,PHP,金铂顺昌,11-20K,发布于06月23日,1-3年/本科,北京,缓存技术/php框架/LNMP/熟悉网络协议/熟悉php,https://www.zhipin.com//job_detail/5c7223b129ee7bf80HN80tW0GVs~.html
77,数据分析主管,浩远科博,15-20K,发布于06月23日,1-3年/大专,北京·朝阳区,Hadoop/商业分析/数据挖掘/网络爬虫技术/大数据,https://www.zhipin.com//job_detail/b03c417e78157d2933V-29m7EVs~.html
78,spider策略研发工程师,百度,25-50K·15薪,发布于06月23日,1-3年/硕士,北京,网络爬虫技术/数据挖掘/后端开发/大数据/算法设计,https://www.zhipin.com//job_detail/46da1ae57a35092f33B43N2-EFY~.html
79,内容研发【python/web】,猿辅导,12-20K·14薪,发布于06月24日,1-3年/本科,北京,教研/爬虫/数据分析/数据科学/少儿编程,https://www.zhipin.com//job_detail/d50fb306bbfd4b6533Z-29u6FVo~.html
80,后端开发工程师,隆瀚,10-15K·13薪,发布于06月24日,1-3年/本科,北京,网络爬虫技术/分布式技术/软件工程师/移动端/后端开发,https://www.zhipin.com//job_detail/b2e64e6f082fafa033B-29m1E1M~.html
81,数据分析（道路/公交）,中软国际,5-8K,发布于06月24日,1-3年/大专,北京,数据仓库/SQL/数据库开发/MySQL/Python,https://www.zhipin.com//job_detail/d28ea059e7901e800HB42d26F1c~.html
